,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Season
1,Arsenal,23,12.0,311,25.92,220,32,20,25,9,5,43,3.58,21,6,3,6,7,0,2023-2024
2,Aston Villa,23,12.0,315,26.25,234,28,12,28,8,5,46,3.83,33,1,4,4,3,1,2023-2024
3,Bournemouth,25,12.0,236,19.67,173,15,16,14,10,8,15,1.25,9,0,2,2,0,2,2023-2024
4,Brentford,25,12.0,294,24.5,200,38,10,24,16,6,29,2.42,22,1,1,1,4,0,2023-2024
5,Brighton,25,12.0,309,25.75,227,23,23,20,13,3,42,3.5,30,1,6,2,2,1,2023-2024
6,Burnley,25,12.0,211,17.58,143,28,14,16,8,2,18,1.5,15,0,2,1,0,0,2023-2024
7,Chelsea,23,12.0,305,25.42,220,17,28,17,15,8,35,2.92,22,1,4,3,3,2,2023-2024
8,Crystal Palace,22,12.0,250,20.83,165,27,17,20,15,6,24,2.0,20,1,1,0,2,0,2023-2024
9,Everton,23,12.0,283,23.58,197,28,13,25,10,10,21,1.75,13,2,0,5,0,1,2023-2024
10,Fulham,23,12.0,226,18.83,167,18,15,14,8,4,14,1.17,12,1,0,1,0,0,2023-2024
11,Liverpool,22,12.0,387,32.25,286,38,14,30,17,2,41,3.42,31,2,1,5,2,0,2023-2024
12,Luton Town,23,12.0,246,20.5,174,29,14,15,9,5,15,1.25,10,1,0,2,2,0,2023-2024
13,Manchester City,25,12.0,370,30.83,293,18,16,21,21,1,58,4.83,42,2,3,6,5,0,2023-2024
14,Manchester Utd,25,12.0,315,26.25,238,21,26,12,12,6,23,1.92,15,2,3,1,1,1,2023-2024
15,Newcastle Utd,25,12.0,279,23.25,200,17,24,18,16,4,45,3.75,26,2,6,4,5,2,2023-2024
16,Nott'ham Forest,27,12.0,224,18.67,161,22,12,14,11,4,27,2.25,23,0,2,1,1,0,2023-2024
17,Sheffield Utd,27,12.0,165,13.75,122,19,4,10,7,3,8,0.67,5,1,0,1,1,0,2023-2024
18,Tottenham,24,12.0,340,28.33,258,18,18,22,14,10,40,3.33,32,2,3,1,1,1,2023-2024
19,West Ham,20,12.0,257,21.42,166,38,18,15,13,7,38,3.17,26,5,2,2,1,2,2023-2024
20,Wolves,21,12.0,254,21.17,165,26,26,20,13,4,28,2.33,17,4,3,3,1,0,2023-2024
21,Arsenal,26,38.0,1045,27.5,776,78,57,73,43,18,150,3.95,121,6,5,13,3,2,2022-2023
22,Aston Villa,26,38.0,751,19.76,565,50,48,38,40,10,84,2.21,55,2,6,12,6,3,2022-2023
23,Bournemouth,31,38.0,616,16.21,445,45,52,43,24,7,64,1.68,44,5,4,8,2,1,2022-2023
24,Brentford,25,38.0,702,18.47,475,99,32,45,44,7,98,2.58,65,8,4,8,11,2,2022-2023
25,Brighton,29,38.0,1074,28.26,819,73,80,63,27,12,114,3.0,83,3,12,9,6,1,2022-2023
26,Chelsea,32,38.0,859,22.61,667,66,42,42,31,11,68,1.79,57,3,2,2,4,0,2022-2023
27,Crystal Palace,26,38.0,746,19.63,497,67,56,49,59,18,67,1.76,43,6,6,6,4,2,2022-2023
28,Everton,28,38.0,735,19.34,495,84,37,54,45,20,59,1.55,41,5,5,2,4,2,2022-2023
29,Fulham,29,38.0,751,19.76,528,78,29,54,47,15,90,2.37,56,9,5,11,7,2,2022-2023
30,Leeds United,29,38.0,783,20.61,535,99,32,54,48,15,69,1.82,43,7,4,9,3,3,2022-2023
31,Leicester City,28,38.0,744,19.58,540,52,50,50,38,14,87,2.29,59,2,8,8,7,3,2022-2023
32,Liverpool,28,38.0,1046,27.53,778,85,55,75,33,20,129,3.39,97,9,7,8,7,1,2022-2023
33,Manchester City,24,38.0,1099,28.92,826,81,53,76,49,14,168,4.42,130,7,8,9,12,2,2022-2023
34,Manchester Utd,26,38.0,1051,27.66,840,58,46,63,35,9,99,2.61,79,3,8,5,4,0,2022-2023
35,Newcastle Utd,27,38.0,1008,26.53,690,110,62,77,57,12,106,2.79,64,6,15,10,6,5,2022-2023
36,Nott'ham Forest,33,38.0,593,15.61,416,59,31,38,36,13,54,1.42,31,5,4,11,3,0,2022-2023
37,Southampton,36,38.0,718,18.89,493,77,46,51,38,13,61,1.61,35,5,7,5,6,3,2022-2023
38,Tottenham,29,38.0,910,23.95,692,60,46,55,38,19,116,3.05,84,7,7,9,7,2,2022-2023
39,West Ham,25,38.0,817,21.5,586,81,39,61,35,15,67,1.76,41,6,5,9,6,0,2022-2023
40,Wolves,32,38.0,713,18.76,521,62,30,47,42,11,44,1.16,32,1,3,6,1,1,2022-2023
