,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Season
1,Arsenal,23,12.0,6268,7341,85.4,107054,32954,2892,3189,90.7,2801,3090,90.6,461,773,59.6,14,12.7,13.3,1.3,131,518,145,21,630,2023-2024
2,Aston Villa,23,12.0,5322,6326,84.1,92330,30547,2346,2585,90.8,2441,2734,89.3,434,743,58.4,18,16.7,14.9,1.3,140,440,132,28,496,2023-2024
3,Bournemouth,25,12.0,3812,4987,76.4,68854,24378,1649,1880,87.7,1681,1962,85.7,392,867,45.2,6,9.3,8.9,-3.3,96,287,95,19,352,2023-2024
4,Brentford,25,12.0,4429,5689,77.9,80283,29549,1916,2216,86.5,1967,2335,84.2,464,877,52.9,13,16.7,15.2,-3.7,119,299,104,24,456,2023-2024
5,Brighton,25,12.0,6845,7839,87.3,109472,35784,3497,3764,92.9,2681,2964,90.5,448,712,62.9,18,16.5,14.8,1.5,137,417,115,21,546,2023-2024
6,Burnley,25,12.0,4958,6167,80.4,86298,27602,2296,2585,88.8,2147,2442,87.9,434,857,50.6,8,8.0,8.5,0.0,93,263,56,12,343,2023-2024
7,Chelsea,23,12.0,6512,7588,85.8,106938,35018,3234,3510,92.1,2603,2891,90.0,490,779,62.9,12,16.0,13.6,-4.0,121,476,125,17,529,2023-2024
8,Crystal Palace,22,12.0,4168,5294,78.7,74673,27489,1875,2138,87.7,1812,2098,86.4,403,808,49.9,10,11.6,8.7,-1.6,110,338,76,16,374,2023-2024
9,Everton,23,12.0,3581,4867,73.6,64811,27400,1698,1959,86.7,1335,1641,81.4,446,960,46.5,7,13.1,10.4,-6.1,113,279,85,25,329,2023-2024
10,Fulham,23,12.0,4971,6139,81.0,89582,29792,2125,2394,88.8,2218,2523,87.9,514,902,57.0,4,8.9,8.1,-4.9,97,366,89,25,417,2023-2024
11,Liverpool,22,12.0,6305,7460,84.5,108494,37772,2907,3193,91.0,2708,3039,89.1,544,895,60.8,17,19.0,15.5,-2.0,162,464,135,20,632,2023-2024
12,Luton Town,23,12.0,2841,4172,68.1,54127,23665,1266,1524,83.1,1081,1398,77.3,400,939,42.6,5,8.5,9.2,-3.5,102,245,77,31,337,2023-2024
13,Manchester City,25,12.0,7216,8159,88.4,121041,34036,3477,3706,93.8,3012,3278,91.9,554,827,67.0,24,18.5,18.5,5.5,161,537,146,19,608,2023-2024
14,Manchester Utd,25,12.0,5448,6679,81.6,92005,29499,2619,2948,88.8,2128,2459,86.5,512,883,58.0,10,13.9,12.9,-3.9,141,483,134,21,578,2023-2024
15,Newcastle Utd,25,12.0,5439,6553,83.0,92391,31135,2572,2857,90.0,2291,2614,87.6,458,787,58.2,17,14.9,11.5,2.1,116,330,103,20,464,2023-2024
16,Nott'ham Forest,27,12.0,3606,4792,75.3,64005,26276,1678,1976,84.9,1434,1770,81.0,400,789,50.7,12,9.4,7.5,2.6,91,255,69,19,320,2023-2024
17,Sheffield Utd,27,12.0,3277,4553,72.0,57105,24007,1598,1885,84.8,1209,1508,80.2,359,850,42.2,3,4.8,5.2,-1.8,69,233,63,13,282,2023-2024
18,Tottenham,24,12.0,6324,7372,85.8,99546,33742,3295,3545,92.9,2455,2744,89.5,360,629,57.2,19,16.4,16.4,2.6,146,492,131,13,639,2023-2024
19,West Ham,20,12.0,4033,5225,77.2,71465,27767,1875,2107,89.0,1585,1891,83.8,445,881,50.5,17,13.1,12.0,3.9,109,303,76,20,387,2023-2024
