,Squad,npxG,npxG,npxG+xAG,npxG+xAG,xAG,xAG,xG,xG,Ast,Ast,G+A,G+A,G+A-PK,G-PK,G-PK,Gls,Gls,xG+xAG,CrdR,CrdY,PK,PKatt,90s,MP,Min,Starts,PrgC,PrgP,# Pl,Age,Poss,Season
1,Arsenal,16.5,1.38,29.3,2.44,12.7,1.06,21.0,1.75,1.17,14,3.25,39,2.75,1.58,19,2.08,25,2.81,2.0,18.0,6,6,12.0,12,1080,132,245.0,630.0,23,25.2,60.7,2023-2024
2,Aston Villa,21.2,1.77,37.9,3.16,16.7,1.39,23.5,1.96,1.5,18,3.67,44,3.42,1.92,23,2.17,26,3.35,0.0,28.0,3,3,12.0,12,1080,132,254.0,496.0,23,27.1,53.8,2023-2024
3,Bournemouth,13.8,1.15,23.1,1.93,9.3,0.77,13.8,1.15,0.5,6,1.42,17,1.42,0.92,11,0.92,11,1.93,1.0,20.0,0,0,12.0,12,1080,132,197.0,352.0,25,25.7,42.9,2023-2024
4,Brentford,20.8,1.73,37.5,3.12,16.7,1.39,22.1,1.84,1.08,13,2.58,31,2.42,1.33,16,1.5,18,3.23,0.0,30.0,2,2,12.0,12,1080,132,172.0,456.0,25,26.6,47.7,2023-2024
5,Brighton,20.0,1.67,36.5,3.04,16.5,1.38,20.8,1.73,1.5,18,3.42,41,3.33,1.83,22,1.92,23,3.11,1.0,30.0,1,1,12.0,12,1080,132,284.0,546.0,25,27.2,61.4,2023-2024
6,Burnley,9.9,0.83,17.9,1.49,8.0,0.67,9.9,0.83,0.67,8,1.42,17,1.42,0.75,9,0.75,9,1.49,3.0,25.0,0,0,12.0,12,1080,132,204.0,343.0,25,25.1,49.9,2023-2024
7,Chelsea,21.3,1.78,37.3,3.11,16.0,1.33,25.2,2.1,1.0,12,2.67,32,2.33,1.33,16,1.67,20,3.44,1.0,40.0,4,5,12.0,12,1080,132,302.0,529.0,23,25.2,60.3,2023-2024
8,Crystal Palace,13.4,1.12,25.0,2.08,11.6,0.97,14.2,1.18,0.83,10,1.83,22,1.75,0.92,11,1.0,12,2.15,0.0,22.0,1,1,12.0,12,1080,132,167.0,374.0,22,27.8,43.7,2023-2024
9,Everton,17.9,1.49,31.0,2.59,13.1,1.09,17.9,1.49,0.58,7,1.75,21,1.75,1.17,14,1.17,14,2.59,1.0,25.0,0,0,12.0,12,1080,132,174.0,329.0,23,27.5,40.0,2023-2024
10,Fulham,12.4,1.03,21.3,1.77,8.9,0.75,12.4,1.03,0.33,4,1.08,13,1.08,0.75,9,0.75,9,1.77,2.0,35.0,0,0,12.0,12,1080,132,194.0,417.0,23,29.4,48.7,2023-2024
11,Liverpool,23.2,1.93,42.2,3.52,19.0,1.58,26.5,2.21,1.42,17,3.5,42,3.25,1.83,22,2.08,25,3.79,4.0,22.0,3,4,12.0,12,1080,132,277.0,632.0,22,27.3,58.5,2023-2024
12,Luton Town,11.3,0.95,19.8,1.65,8.5,0.71,12.9,1.07,0.42,5,1.17,14,1.0,0.58,7,0.75,9,1.78,0.0,20.0,2,2,12.0,12,1080,132,179.0,337.0,23,27.2,36.2,2023-2024
13,Manchester City,21.3,1.78,39.8,3.32,18.5,1.54,24.4,2.03,2.0,24,4.67,56,4.42,2.42,29,2.67,32,3.58,2.0,23.0,3,4,12.0,12,1080,132,340.0,608.0,25,26.8,62.5,2023-2024
14,Manchester Utd,16.7,1.39,30.6,2.55,13.9,1.16,17.5,1.46,0.83,10,1.92,23,1.83,1.0,12,1.08,13,2.62,0.0,26.0,1,1,12.0,12,1080,132,249.0,578.0,25,27.3,54.3,2023-2024
15,Newcastle Utd,21.0,1.75,35.9,2.99,14.9,1.24,23.4,1.95,1.42,17,3.67,44,3.42,2.0,24,2.25,27,3.19,0.0,33.0,3,3,12.0,12,1080,132,219.0,464.0,25,28.1,53.1,2023-2024
16,Nott'ham Forest,13.2,1.1,22.6,1.88,9.4,0.78,13.2,1.1,1.0,12,2.17,26,2.17,1.17,14,1.17,14,1.88,2.0,34.0,0,0,12.0,12,1080,132,166.0,320.0,27,26.6,38.9,2023-2024
17,Sheffield Utd,8.1,0.67,12.9,1.08,4.8,0.4,9.7,0.8,0.25,3,0.83,10,0.67,0.42,5,0.58,7,1.21,1.0,35.0,2,2,12.0,12,1080,132,98.0,282.0,27,26.9,38.2,2023-2024
18,Tottenham,19.2,1.6,35.6,2.96,16.4,1.36,19.2,1.6,1.58,19,3.33,40,3.33,1.75,21,1.75,21,2.96,3.0,38.0,0,0,12.0,12,1080,132,305.0,639.0,24,25.5,59.5,2023-2024
19,West Ham,16.8,1.4,29.9,2.49,13.1,1.09,17.6,1.47,1.42,17,3.17,38,3.08,1.67,20,1.75,21,2.56,1.0,32.0,1,1,12.0,12,1080,132,186.0,387.0,20,28.9,42.1,2023-2024
20,Wolves,16.4,1.37,29.2,2.43,12.8,1.07,16.4,1.37,1.17,14,2.42,29,2.42,1.25,15,1.25,15,2.43,3.0,41.0,0,0,12.0,12,1080,132,230.0,373.0,21,27.0,47.8,2023-2024
21,Arsenal,69.1,1.82,122.9,3.23,53.8,1.41,71.9,1.89,1.68,64,3.89,148,3.82,2.13,81,2.21,84,3.31,0.0,51.0,3,4,38.0,38,3420,418,824.0,2049.0,26,24.7,59.3,2022-2023
22,Aston Villa,47.2,1.24,86.0,2.26,38.8,1.02,50.2,1.32,0.92,35,2.21,84,2.13,1.21,46,1.29,49,2.34,1.0,80.0,3,4,38.0,38,3420,418,637.0,1242.0,26,27.0,49.3,2022-2023
23,Bournemouth,38.6,1.02,67.1,1.76,28.5,0.75,38.6,1.02,0.63,24,1.61,61,1.61,0.97,37,0.97,37,1.76,0.0,68.0,0,0,38.0,38,3420,418,504.0,1006.0,31,26.3,40.4,2022-2023
24,Brentford,50.6,1.33,89.2,2.35,38.7,1.02,56.8,1.49,0.95,36,2.42,92,2.24,1.29,49,1.47,56,2.51,1.0,57.0,7,8,38.0,38,3420,418,392.0,1131.0,25,26.2,43.8,2022-2023
25,Brighton,68.9,1.81,121.2,3.19,52.2,1.37,73.3,1.93,1.21,46,3.0,114,2.84,1.63,62,1.79,68,3.3,0.0,58.0,6,6,38.0,38,3420,418,809.0,1849.0,29,26.3,60.2,2022-2023
26,Chelsea,47.2,1.24,85.8,2.26,38.6,1.02,49.5,1.3,0.71,27,1.68,64,1.61,0.89,34,0.97,37,2.32,3.0,81.0,3,3,38.0,38,3420,418,829.0,1737.0,32,26.3,58.7,2022-2023
27,Crystal Palace,36.8,0.97,65.8,1.73,29.0,0.76,39.3,1.03,0.76,29,1.76,67,1.74,0.97,37,1.0,38,1.8,3.0,82.0,1,3,38.0,38,3420,418,556.0,1243.0,26,26.7,46.3,2022-2023
28,Everton,42.8,1.13,75.1,1.98,32.4,0.85,45.2,1.19,0.63,24,1.47,56,1.39,0.76,29,0.84,32,2.04,2.0,81.0,3,3,38.0,38,3420,418,500.0,1052.0,28,26.6,42.8,2022-2023
29,Fulham,39.1,1.03,67.7,1.78,28.5,0.75,46.2,1.22,0.87,33,2.24,85,2.11,1.24,47,1.37,52,1.97,1.0,80.0,5,9,38.0,38,3420,418,662.0,1326.0,29,28.2,48.8,2022-2023
30,Leeds United,45.0,1.18,76.9,2.02,31.9,0.84,47.4,1.25,0.82,31,2.0,76,1.97,1.16,44,1.18,45,2.09,3.0,89.0,1,3,38.0,38,3420,418,555.0,1429.0,29,25.3,47.0,2022-2023
31,Leicester City,45.8,1.2,84.2,2.22,38.5,1.01,50.6,1.33,0.95,36,2.24,85,2.16,1.21,46,1.29,49,2.34,2.0,63.0,3,6,38.0,38,3420,418,580.0,1304.0,28,26.1,47.7,2022-2023
32,Liverpool,69.5,1.83,126.1,3.32,56.7,1.49,72.6,1.91,1.53,58,3.39,129,3.34,1.82,69,1.87,71,3.4,1.0,57.0,2,4,38.0,38,3420,418,719.0,1992.0,28,27.4,60.8,2022-2023
33,Manchester City,71.1,1.87,128.6,3.38,57.5,1.51,78.6,2.07,1.82,69,4.24,161,4.0,2.18,83,2.42,92,3.58,1.0,44.0,9,10,38.0,38,3420,418,987.0,2073.0,24,27.2,64.7,2022-2023
