,Squad,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA90,Season
0,Arsenal,25.92,220,32,20,25,9,5,3.58,2023-2024
1,Aston Villa,26.25,234,28,12,28,8,5,3.83,2023-2024
2,Bournemouth,19.67,173,15,16,14,10,8,1.25,2023-2024
3,Brentford,24.5,200,38,10,24,16,6,2.42,2023-2024
4,Brighton,25.75,227,23,23,20,13,3,3.5,2023-2024
5,Burnley,17.58,143,28,14,16,8,2,1.5,2023-2024
6,Chelsea,25.42,220,17,28,17,15,8,2.92,2023-2024
7,Crystal Palace,20.83,165,27,17,20,15,6,2.0,2023-2024
8,Everton,23.58,197,28,13,25,10,10,1.75,2023-2024
9,Fulham,18.83,167,18,15,14,8,4,1.17,2023-2024
10,Liverpool,32.25,286,38,14,30,17,2,3.42,2023-2024
11,Luton Town,20.5,174,29,14,15,9,5,1.25,2023-2024
12,Manchester City,30.83,293,18,16,21,21,1,4.83,2023-2024
13,Manchester Utd,26.25,238,21,26,12,12,6,1.92,2023-2024
14,Newcastle Utd,23.25,200,17,24,18,16,4,3.75,2023-2024
15,Nott'ham Forest,18.67,161,22,12,14,11,4,2.25,2023-2024
16,Sheffield Utd,13.75,122,19,4,10,7,3,0.67,2023-2024
17,Tottenham,28.33,258,18,18,22,14,10,3.33,2023-2024
18,West Ham,21.42,166,38,18,15,13,7,3.17,2023-2024
19,Wolves,21.17,165,26,26,20,13,4,2.33,2023-2024
20,Arsenal,27.5,776,78,57,73,43,18,3.95,2022-2023
21,Aston Villa,19.76,565,50,48,38,40,10,2.21,2022-2023
22,Bournemouth,16.21,445,45,52,43,24,7,1.68,2022-2023
23,Brentford,18.47,475,99,32,45,44,7,2.58,2022-2023
24,Brighton,28.26,819,73,80,63,27,12,3.0,2022-2023
25,Chelsea,22.61,667,66,42,42,31,11,1.79,2022-2023
26,Crystal Palace,19.63,497,67,56,49,59,18,1.76,2022-2023
27,Everton,19.34,495,84,37,54,45,20,1.55,2022-2023
28,Fulham,19.76,528,78,29,54,47,15,2.37,2022-2023
29,Leeds United,20.61,535,99,32,54,48,15,1.82,2022-2023
30,Leicester City,19.58,540,52,50,50,38,14,2.29,2022-2023
31,Liverpool,27.53,778,85,55,75,33,20,3.39,2022-2023
32,Manchester City,28.92,826,81,53,76,49,14,4.42,2022-2023
33,Manchester Utd,27.66,840,58,46,63,35,9,2.61,2022-2023
34,Newcastle Utd,26.53,690,110,62,77,57,12,2.79,2022-2023
35,Nott'ham Forest,15.61,416,59,31,38,36,13,1.42,2022-2023
36,Southampton,18.89,493,77,46,51,38,13,1.61,2022-2023
37,Tottenham,23.95,692,60,46,55,38,19,3.05,2022-2023
38,West Ham,21.5,586,81,39,61,35,15,1.76,2022-2023
39,Wolves,18.76,521,62,30,47,42,11,1.16,2022-2023
40,Arsenal,27.11,788,68,57,66,39,12,2.61,2021-2022
41,Aston Villa,22.03,608,85,49,41,48,6,2.45,2021-2022
42,Brentford,19.45,487,96,37,62,43,14,2.05,2021-2022
43,Brighton,22.89,630,84,49,55,40,12,1.89,2021-2022
44,Burnley,17.74,455,81,28,50,50,10,1.58,2021-2022
45,Chelsea,28.0,818,62,48,75,49,12,3.55,2021-2022
46,Crystal Palace,18.71,500,63,43,46,43,16,2.13,2021-2022
47,Everton,19.53,533,69,43,42,45,10,1.79,2021-2022
48,Leeds United,21.71,589,68,52,60,42,14,1.74,2021-2022
49,Leicester City,19.61,566,41,48,42,33,15,2.76,2021-2022
50,Liverpool,32.87,912,105,63,104,49,16,4.29,2021-2022
51,Manchester City,33.84,997,78,70,88,42,11,4.16,2021-2022
52,Manchester Utd,24.13,706,65,56,38,39,13,2.74,2021-2022
53,Newcastle Utd,19.95,504,81,61,57,44,11,1.84,2021-2022
54,Norwich City,16.76,435,67,41,33,50,11,0.92,2021-2022
55,Southampton,21.42,585,68,43,51,49,18,1.87,2021-2022
56,Tottenham,23.21,678,51,46,61,37,9,3.08,2021-2022
57,Watford,18.24,475,59,48,43,52,16,1.5,2021-2022
58,West Ham,20.26,569,68,47,50,28,8,2.68,2021-2022
59,Wolves,18.21,496,44,65,37,31,19,1.53,2021-2022
60,Arsenal,21.39,623,44,49,45,46,6,2.5,2020-2021
61,Aston Villa,24.74,670,91,63,47,58,11,2.47,2020-2021
62,Brighton,22.29,628,75,34,55,42,13,1.66,2020-2021
63,Burnley,17.53,471,71,28,36,51,9,1.37,2020-2021
64,Chelsea,26.79,790,81,42,55,43,7,2.5,2020-2021
65,Crystal Palace,16.26,433,54,52,23,46,10,1.84,2020-2021
66,Everton,18.68,514,67,34,43,46,6,2.11,2020-2021
67,Fulham,20.66,579,65,53,35,47,6,1.24,2020-2021
68,Leeds United,24.32,701,73,45,63,31,11,2.84,2020-2021
69,Leicester City,22.71,635,49,56,46,54,23,3.0,2020-2021
70,Liverpool,28.11,818,71,58,61,46,14,2.89,2020-2021
71,Manchester City,28.08,801,61,90,57,43,15,3.71,2020-2021
72,Manchester Utd,25.08,720,73,46,58,46,10,3.34,2020-2021
73,Newcastle Utd,18.11,454,85,51,36,56,6,1.97,2020-2021
74,Sheffield Utd,14.92,435,48,27,29,23,5,0.71,2020-2021
75,Southampton,19.16,513,63,42,47,51,12,2.18,2020-2021
76,Tottenham,20.68,553,55,56,49,56,17,3.16,2020-2021
77,West Brom,14.95,407,60,26,27,39,9,1.39,2020-2021
78,West Ham,21.66,576,92,37,56,53,9,2.79,2020-2021
79,Wolves,21.61,572,74,68,47,46,14,1.66,2020-2021
80,Arsenal,18.66,501,59,52,48,33,16,2.24,2019-2020
81,Aston Villa,21.79,599,88,42,36,56,7,1.89,2019-2020
82,Bournemouth,17.61,472,69,34,39,47,8,1.66,2019-2020
83,Brighton,21.16,599,73,39,48,40,5,1.71,2019-2020
84,Burnley,17.55,459,83,27,44,45,9,1.87,2019-2020
85,Chelsea,29.5,847,86,57,64,52,15,3.24,2019-2020
86,Crystal Palace,16.92,427,68,57,36,46,9,1.39,2019-2020
87,Everton,21.18,536,86,47,69,51,16,1.76,2019-2020
88,Leicester City,25.5,707,73,75,48,56,10,3.05,2019-2020
89,Liverpool,27.47,800,77,60,54,36,17,3.89,2019-2020
90,Manchester City,35.68,1040,72,101,75,53,15,4.55,2019-2020
91,Manchester Utd,25.74,766,50,62,36,56,8,2.95,2019-2020
92,Newcastle Utd,18.55,491,75,55,38,37,9,1.63,2019-2020
93,Norwich City,18.87,522,56,47,47,35,10,1.13,2019-2020
94,Sheffield Utd,16.58,457,62,44,38,23,6,1.66,2019-2020
95,Southampton,22.18,560,74,70,53,60,26,2.03,2019-2020
96,Tottenham,20.5,589,43,54,37,38,18,2.47,2019-2020
97,Watford,19.08,498,69,45,42,56,15,1.53,2019-2020
98,West Ham,19.34,514,78,42,42,47,12,2.34,2019-2020
99,Wolves,21.08,541,70,79,47,46,18,2.18,2019-2020
100,Arsenal,21.87,655,58,50,34,22,12,3.05,2018-2019
101,Bournemouth,20.74,558,83,46,39,47,15,2.61,2018-2019
102,Brighton,17.03,427,87,40,35,45,13,1.45,2018-2019
103,Burnley,16.42,417,81,14,55,52,5,1.82,2018-2019
104,Cardiff City,18.24,457,96,32,57,47,4,1.32,2018-2019
105,Chelsea,29.76,892,58,61,45,54,21,3.0,2018-2019
106,Crystal Palace,22.63,606,72,55,63,50,14,2.26,2018-2019
107,Everton,22.24,573,88,57,61,56,10,2.45,2018-2019
108,Fulham,21.42,601,73,47,56,28,9,1.55,2018-2019
109,Huddersfield,17.97,487,74,27,43,37,15,0.87,2018-2019
110,Leicester City,23.63,625,87,64,56,50,16,2.24,2018-2019
111,Liverpool,26.66,747,74,77,56,45,14,3.92,2018-2019
112,Manchester City,32.0,927,71,92,71,44,11,4.42,2018-2019
113,Manchester Utd,25.18,730,61,54,53,52,7,3.11,2018-2019
114,Newcastle Utd,20.63,571,77,33,43,42,18,1.79,2018-2019
115,Southampton,21.55,565,73,49,62,47,23,2.03,2018-2019
116,Tottenham,24.66,676,81,62,55,46,17,3.03,2018-2019
117,Watford,19.05,523,56,46,42,46,11,2.18,2018-2019
118,West Ham,20.32,545,77,43,54,36,17,2.32,2018-2019
119,Wolves,21.79,605,69,53,48,40,13,2.16,2018-2019
120,Arsenal,28.39,830,53,70,65,53,8,3.45,2017-2018
121,Bournemouth,21.29,582,78,53,42,39,15,2.18,2017-2018
122,Brighton,18.0,489,73,46,37,31,8,1.58,2017-2018
123,Burnley,17.47,441,88,36,43,48,8,1.53,2017-2018
124,Chelsea,29.32,838,83,81,54,46,12,2.89,2017-2018
125,Crystal Palace,21.95,528,83,90,56,60,17,2.05,2017-2018
126,Everton,16.55,454,59,31,31,42,12,1.87,2017-2018
127,Huddersfield,16.34,443,52,39,35,36,16,1.18,2017-2018
128,Leicester City,19.24,495,83,63,45,38,7,2.47,2017-2018
129,Liverpool,29.97,859,71,98,58,36,17,3.79,2017-2018
130,Manchester City,31.82,943,73,76,52,52,13,5.08,2017-2018
131,Manchester Utd,24.11,699,54,69,45,38,11,3.08,2017-2018
132,Newcastle Utd,20.55,561,72,45,44,39,20,1.66,2017-2018
133,Southampton,21.03,590,71,54,42,32,10,1.71,2017-2018
134,Stoke City,17.61,463,69,41,44,41,11,1.63,2017-2018
135,Swansea City,15.29,395,57,48,37,33,11,1.05,2017-2018
136,Tottenham,28.74,811,75,68,72,51,15,3.0,2017-2018
137,Watford,20.16,526,73,60,47,40,20,1.82,2017-2018
138,West Brom,17.08,449,78,40,33,38,11,1.34,2017-2018
139,West Ham,17.29,457,64,57,23,49,7,2.08,2017-2018
