,Squad,Cmp%,Ast,KP,1/3,CrsPA,Season
0,Arsenal,85.4,14,131,518,21,2023-2024
1,Aston Villa,84.1,18,140,440,28,2023-2024
2,Bournemouth,76.4,6,96,287,19,2023-2024
3,Brentford,77.9,13,119,299,24,2023-2024
4,Brighton,87.3,18,137,417,21,2023-2024
5,Burnley,80.4,8,93,263,12,2023-2024
6,Chelsea,85.8,12,121,476,17,2023-2024
7,Crystal Palace,78.7,10,110,338,16,2023-2024
8,Everton,73.6,7,113,279,25,2023-2024
9,Fulham,81.0,4,97,366,25,2023-2024
10,Liverpool,84.5,17,162,464,20,2023-2024
11,Luton Town,68.1,5,102,245,31,2023-2024
12,Manchester City,88.4,24,161,537,19,2023-2024
13,Manchester Utd,81.6,10,141,483,21,2023-2024
14,Newcastle Utd,83.0,17,116,330,20,2023-2024
15,Nott'ham Forest,75.3,12,91,255,19,2023-2024
16,Sheffield Utd,72.0,3,69,233,13,2023-2024
17,Tottenham,85.8,19,146,492,13,2023-2024
18,West Ham,77.2,17,109,303,20,2023-2024
19,Wolves,80.0,14,110,280,22,2023-2024
20,Arsenal,83.2,64,443,1637,62,2022-2023
21,Aston Villa,79.2,35,318,964,80,2022-2023
22,Bournemouth,76.2,24,261,850,75,2022-2023
23,Brentford,72.8,36,284,922,87,2022-2023
24,Brighton,83.9,46,480,1459,78,2022-2023
25,Chelsea,83.8,27,376,1426,68,2022-2023
26,Crystal Palace,77.4,29,316,1013,51,2022-2023
27,Everton,74.7,24,308,964,67,2022-2023
28,Fulham,77.6,33,306,1044,97,2022-2023
29,Leeds United,73.5,31,337,1086,70,2022-2023
30,Leicester City,78.9,36,319,1142,52,2022-2023
31,Liverpool,82.3,58,458,1615,85,2022-2023
32,Manchester City,87.3,69,464,1770,75,2022-2023
33,Manchester Utd,80.9,42,478,1268,57,2022-2023
34,Newcastle Utd,78.1,42,435,1083,64,2022-2023
35,Nott'ham Forest,70.1,22,246,660,50,2022-2023
36,Southampton,75.2,25,302,938,71,2022-2023
37,Tottenham,81.2,46,386,1071,104,2022-2023
38,West Ham,75.6,25,340,990,80,2022-2023
39,Wolves,79.6,12,294,1110,71,2022-2023
40,Arsenal,81.5,41,437,1354,74,2021-2022
41,Aston Villa,77.3,42,356,1019,70,2021-2022
42,Brentford,71.8,33,311,942,81,2021-2022
43,Brighton,79.7,30,356,1187,72,2021-2022
44,Burnley,67.0,26,286,877,84,2021-2022
45,Chelsea,85.1,52,439,1614,66,2021-2022
46,Crystal Palace,78.5,31,305,990,75,2021-2022
47,Everton,71.2,29,323,898,77,2021-2022
48,Leeds United,76.5,26,347,995,53,2021-2022
49,Leicester City,80.1,46,312,1025,57,2021-2022
50,Liverpool,82.8,71,527,1878,92,2021-2022
