,Squad,Poss,Live,Succ%,Tkld%,Mis,Dis,PrgR,Season
0,Arsenal,60.7,8479,44.4,43.5,136,123,620,2023-2024
1,Aston Villa,53.8,7497,43.0,38.9,154,104,493,2023-2024
2,Bournemouth,42.9,6412,46.4,42.5,188,125,348,2023-2024
3,Brentford,47.7,7036,43.9,40.6,165,83,457,2023-2024
4,Brighton,61.4,9101,40.1,47.3,173,112,542,2023-2024
5,Burnley,49.9,7420,38.4,48.5,147,92,338,2023-2024
6,Chelsea,60.3,8869,45.7,40.1,199,120,526,2023-2024
7,Crystal Palace,43.7,6758,50.6,38.8,195,146,368,2023-2024
8,Everton,40.0,6278,48.1,43.2,182,100,327,2023-2024
9,Fulham,48.7,7373,51.4,40.6,162,124,412,2023-2024
10,Liverpool,58.5,8811,43.0,49.6,183,108,628,2023-2024
11,Luton Town,36.2,5603,42.4,46.0,170,97,332,2023-2024
12,Manchester City,62.5,9230,54.4,33.2,139,88,602,2023-2024
13,Manchester Utd,54.3,7978,46.6,38.8,163,113,572,2023-2024
14,Newcastle Utd,53.1,7773,52.2,34.3,167,132,461,2023-2024
15,Nott'ham Forest,38.9,6184,44.4,45.0,155,88,312,2023-2024
16,Sheffield Utd,38.2,5987,37.4,53.6,165,108,280,2023-2024
17,Tottenham,59.5,8818,43.3,44.6,162,121,635,2023-2024
18,West Ham,42.1,6609,51.2,36.5,155,108,383,2023-2024
19,Wolves,47.8,7093,53.2,36.0,193,125,367,2023-2024
20,Arsenal,59.3,25905,46.7,38.6,526,378,2024,2022-2023
21,Aston Villa,49.3,21496,42.9,41.0,565,371,1227,2022-2023
22,Bournemouth,40.4,19950,43.7,46.8,589,367,986,2022-2023
23,Brentford,43.8,19742,44.2,41.5,520,335,1121,2022-2023
24,Brighton,60.2,26721,47.4,38.5,558,324,1828,2022-2023
25,Chelsea,58.7,27163,45.3,42.1,568,381,1729,2022-2023
26,Crystal Palace,46.3,21710,46.8,40.1,643,457,1238,2022-2023
27,Everton,42.8,20229,45.6,44.2,605,300,1042,2022-2023
28,Fulham,48.8,22151,45.4,40.2,536,379,1316,2022-2023
29,Leeds United,47.0,21639,39.0,47.7,602,421,1418,2022-2023
30,Leicester City,47.7,23119,46.9,39.5,548,313,1294,2022-2023
