,Squad,Dist,G/SoT,Gls,SoT%,SoT/90,Season
0,Arsenal,16.5,0.35,25,32.7,4.58,2023-2024
1,Aston Villa,15.9,0.35,26,37.5,5.5,2023-2024
2,Bournemouth,17.1,0.22,11,36.2,4.17,2023-2024
3,Brentford,14.9,0.31,18,29.5,4.25,2023-2024
4,Brighton,17.1,0.31,23,40.9,5.83,2023-2024
5,Burnley,17.4,0.24,9,30.3,3.08,2023-2024
6,Chelsea,17.0,0.29,20,32.7,4.58,2023-2024
7,Crystal Palace,16.7,0.23,12,32.6,3.92,2023-2024
8,Everton,16.4,0.25,14,33.5,4.67,2023-2024
9,Fulham,18.1,0.21,9,31.6,3.5,2023-2024
10,Liverpool,18.1,0.34,25,30.5,5.42,2023-2024
11,Luton Town,15.9,0.24,9,21.0,2.42,2023-2024
12,Manchester City,16.9,0.36,32,41.8,6.75,2023-2024
13,Manchester Utd,17.0,0.22,13,30.5,4.5,2023-2024
14,Newcastle Utd,15.7,0.38,27,41.6,5.33,2023-2024
15,Nott'ham Forest,16.2,0.33,14,33.9,3.58,2023-2024
16,Sheffield Utd,19.1,0.17,7,28.2,2.42,2023-2024
17,Tottenham,17.8,0.3,21,35.9,5.75,2023-2024
18,West Ham,15.3,0.41,21,34.0,4.08,2023-2024
19,Wolves,16.5,0.33,15,31.5,3.83,2023-2024
20,Arsenal,16.0,0.42,84,32.9,5.11,2022-2023
21,Aston Villa,18.0,0.32,49,34.0,3.82,2022-2023
22,Bournemouth,15.5,0.29,37,35.2,3.32,2022-2023
23,Brentford,15.7,0.33,56,36.8,3.87,2022-2023
24,Brighton,16.8,0.28,68,36.1,5.76,2022-2023
25,Chelsea,16.8,0.23,37,31.4,3.97,2022-2023
26,Crystal Palace,17.6,0.28,38,31.4,3.5,2022-2023
27,Everton,16.8,0.2,32,33.6,3.76,2022-2023
28,Fulham,17.3,0.34,52,32.6,3.61,2022-2023
29,Leeds United,16.6,0.31,45,30.7,3.71,2022-2023
30,Leicester City,17.7,0.32,49,34.5,3.74,2022-2023
31,Liverpool,16.2,0.34,71,33.8,5.34,2022-2023
32,Manchester City,16.6,0.4,92,34.7,5.39,2022-2023
33,Manchester Utd,17.8,0.26,56,34.9,5.42,2022-2023
34,Newcastle Utd,15.6,0.32,64,32.6,4.84,2022-2023
35,Nott'ham Forest,17.2,0.3,36,30.7,2.92,2022-2023
36,Southampton,18.1,0.26,36,32.0,3.47,2022-2023
37,Tottenham,16.7,0.34,68,36.3,4.89,2022-2023
38,West Ham,17.3,0.26,41,28.5,3.5,2022-2023
39,Wolves,18.0,0.21,28,29.1,3.13,2022-2023
40,Arsenal,17.8,0.3,60,32.0,4.89,2021-2022
41,Aston Villa,17.6,0.3,50,34.5,4.18,2021-2022
42,Brentford,16.3,0.28,46,32.3,3.71,2021-2022
43,Brighton,17.7,0.26,40,29.3,3.71,2021-2022
44,Burnley,17.2,0.26,32,29.4,3.13,2021-2022
45,Chelsea,17.4,0.34,75,34.3,5.26,2021-2022
46,Crystal Palace,16.1,0.31,50,34.7,3.68,2021-2022
47,Everton,17.7,0.28,42,30.2,3.42,2021-2022
48,Leeds United,18.3,0.26,42,29.6,3.74,2021-2022
49,Leicester City,17.8,0.37,62,37.9,4.32,2021-2022
50,Liverpool,16.7,0.37,94,32.9,6.24,2021-2022
51,Manchester City,16.3,0.38,96,33.7,6.24,2021-2022
52,Manchester Utd,17.7,0.3,56,35.6,4.71,2021-2022
53,Newcastle Utd,18.1,0.27,41,31.8,3.74,2021-2022
54,Norwich City,19.0,0.17,21,28.1,2.74,2021-2022
55,Southampton,17.7,0.23,41,33.7,4.24,2021-2022
56,Tottenham,16.7,0.31,63,38.1,4.87,2021-2022
57,Watford,18.1,0.26,33,31.0,3.24,2021-2022
58,West Ham,16.6,0.38,58,32.1,3.74,2021-2022
59,Wolves,18.6,0.26,35,33.2,3.5,2021-2022
60,Arsenal,17.7,0.34,53,30.9,3.68,2020-2021
61,Aston Villa,17.3,0.26,52,34.6,4.68,2020-2021
62,Brighton,17.4,0.25,39,28.0,3.53,2020-2021
63,Burnley,17.4,0.23,32,32.5,3.26,2020-2021
64,Chelsea,17.1,0.25,56,35.3,5.08,2020-2021
65,Crystal Palace,17.6,0.28,39,36.8,3.34,2020-2021
66,Everton,17.2,0.29,45,36.2,3.76,2020-2021
67,Fulham,18.3,0.18,26,28.7,3.29,2020-2021
68,Leeds United,16.9,0.29,60,37.3,5.08,2020-2021
69,Leicester City,18.6,0.32,64,35.9,4.47,2020-2021
70,Liverpool,17.1,0.29,65,33.9,5.37,2020-2021
71,Manchester City,17.2,0.36,82,35.8,5.55,2020-2021
72,Manchester Utd,18.1,0.31,70,38.1,5.16,2020-2021
73,Newcastle Utd,18.3,0.29,44,33.3,3.42,2020-2021
74,Sheffield Utd,17.7,0.17,19,28.8,2.42,2020-2021
75,Southampton,18.6,0.27,47,37.6,4.13,2020-2021
76,Tottenham,18.0,0.37,66,38.1,4.39,2020-2021
77,West Brom,18.4,0.27,33,31.6,2.79,2020-2021
78,West Ham,16.1,0.37,60,34.1,4.16,2020-2021
79,Wolves,18.5,0.2,34,32.5,3.92,2020-2021
80,Arsenal,16.4,0.36,56,36.2,3.84,2019-2020
81,Aston Villa,17.5,0.27,40,32.5,3.87,2019-2020
82,Bournemouth,17.3,0.29,38,30.4,3.08,2019-2020
83,Brighton,17.6,0.24,35,30.2,3.66,2019-2020
84,Burnley,16.4,0.31,41,32.3,3.26,2019-2020
85,Chelsea,16.6,0.3,69,34.0,5.53,2019-2020
86,Crystal Palace,17.0,0.23,29,30.8,3.03,2019-2020
87,Everton,16.4,0.26,42,34.0,4.18,2019-2020
88,Leicester City,17.4,0.33,65,34.3,4.82,2019-2020
89,Liverpool,16.5,0.35,83,38.2,5.89,2019-2020
90,Manchester City,16.4,0.38,100,34.0,6.58,2019-2020
91,Manchester Utd,19.1,0.27,65,37.9,5.29,2019-2020
92,Newcastle Utd,19.1,0.29,38,33.2,3.47,2019-2020
93,Norwich City,18.0,0.18,25,31.0,3.32,2019-2020
94,Sheffield Utd,15.2,0.32,36,31.0,2.87,2019-2020
95,Southampton,17.8,0.29,51,34.6,4.5,2019-2020
