,Squad,Ast,Gls,PrgP,Poss,Season
0,Arsenal,1.17,2.08,630.0,60.7,2023-2024
1,Aston Villa,1.5,2.17,496.0,53.8,2023-2024
2,Bournemouth,0.5,0.92,352.0,42.9,2023-2024
3,Brentford,1.08,1.5,456.0,47.7,2023-2024
4,Brighton,1.5,1.92,546.0,61.4,2023-2024
5,Burnley,0.67,0.75,343.0,49.9,2023-2024
6,Chelsea,1.0,1.67,529.0,60.3,2023-2024
7,Crystal Palace,0.83,1.0,374.0,43.7,2023-2024
8,Everton,0.58,1.17,329.0,40.0,2023-2024
9,Fulham,0.33,0.75,417.0,48.7,2023-2024
10,Liverpool,1.42,2.08,632.0,58.5,2023-2024
11,Luton Town,0.42,0.75,337.0,36.2,2023-2024
12,Manchester City,2.0,2.67,608.0,62.5,2023-2024
13,Manchester Utd,0.83,1.08,578.0,54.3,2023-2024
14,Newcastle Utd,1.42,2.25,464.0,53.1,2023-2024
15,Nott'ham Forest,1.0,1.17,320.0,38.9,2023-2024
16,Sheffield Utd,0.25,0.58,282.0,38.2,2023-2024
17,Tottenham,1.58,1.75,639.0,59.5,2023-2024
18,West Ham,1.42,1.75,387.0,42.1,2023-2024
19,Wolves,1.17,1.25,373.0,47.8,2023-2024
20,Arsenal,1.68,2.21,2049.0,59.3,2022-2023
21,Aston Villa,0.92,1.29,1242.0,49.3,2022-2023
22,Bournemouth,0.63,0.97,1006.0,40.4,2022-2023
23,Brentford,0.95,1.47,1131.0,43.8,2022-2023
24,Brighton,1.21,1.79,1849.0,60.2,2022-2023
25,Chelsea,0.71,0.97,1737.0,58.7,2022-2023
26,Crystal Palace,0.76,1.0,1243.0,46.3,2022-2023
27,Everton,0.63,0.84,1052.0,42.8,2022-2023
28,Fulham,0.87,1.37,1326.0,48.8,2022-2023
29,Leeds United,0.82,1.18,1429.0,47.0,2022-2023
30,Leicester City,0.95,1.29,1304.0,47.7,2022-2023
31,Liverpool,1.53,1.87,1992.0,60.8,2022-2023
32,Manchester City,1.82,2.42,2073.0,64.7,2022-2023
33,Manchester Utd,1.11,1.47,1595.0,53.7,2022-2023
34,Newcastle Utd,1.11,1.68,1618.0,52.3,2022-2023
35,Nott'ham Forest,0.58,0.95,859.0,37.6,2022-2023
36,Southampton,0.66,0.95,1125.0,44.5,2022-2023
37,Tottenham,1.21,1.79,1449.0,50.0,2022-2023
38,West Ham,0.66,1.08,1274.0,42.1,2022-2023
39,Wolves,0.32,0.74,1343.0,49.9,2022-2023
40,Arsenal,1.08,1.58,1655.0,52.8,2021-2022
41,Aston Villa,1.11,1.32,1300.0,46.5,2021-2022
42,Brentford,0.87,1.21,1189.0,44.8,2021-2022
43,Brighton,0.79,1.05,1547.0,54.4,2021-2022
44,Burnley,0.68,0.84,972.0,40.2,2021-2022
45,Chelsea,1.37,1.97,1967.0,61.8,2021-2022
46,Crystal Palace,0.82,1.32,1229.0,51.1,2021-2022
