,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Arsenal,23,12.0,196,109,79,84,33,98,168,58.3,70,152,38,114,91,287,130,6
1,Aston Villa,23,12.0,173,100,83,74,16,78,179,43.6,101,120,32,88,81,254,171,3
2,Bournemouth,25,12.0,224,122,104,89,31,105,222,47.3,117,150,49,101,104,328,230,8
3,Brentford,25,12.0,196,123,104,74,18,87,201,43.3,114,137,32,105,102,298,290,4
4,Brighton,25,12.0,187,114,89,76,22,78,209,37.3,131,128,38,90,96,283,176,5
5,Burnley,25,12.0,171,100,82,59,30,85,177,48.0,92,134,56,78,93,264,246,8
6,Chelsea,23,12.0,200,119,98,67,35,94,189,49.7,95,121,41,80,87,287,195,3
7,Crystal Palace,22,12.0,236,127,115,83,38,97,185,52.4,88,127,43,84,104,340,307,2
8,Everton,23,12.0,246,146,126,85,35,102,215,47.4,113,159,47,112,107,353,246,5
9,Fulham,23,12.0,208,117,105,71,32,96,206,46.6,110,132,29,103,114,322,215,6
10,Liverpool,22,12.0,185,111,80,70,35,90,236,38.1,146,141,37,104,95,280,225,6
11,Luton Town,23,12.0,213,128,117,72,24,114,199,57.3,85,144,43,101,107,320,282,6
12,Manchester City,25,12.0,161,97,74,61,26,77,141,54.6,64,107,23,84,77,238,130,7
13,Manchester Utd,25,12.0,195,115,90,73,32,101,226,44.7,125,146,48,98,77,272,230,2
14,Newcastle Utd,25,12.0,188,121,91,79,18,89,217,41.0,128,149,48,101,72,260,189,4
15,Nott'ham Forest,27,12.0,227,131,148,63,16,103,192,53.6,89,144,57,87,110,337,334,5
16,Sheffield Utd,27,12.0,231,128,110,82,39,93,213,43.7,120,186,58,128,113,344,315,7
17,Tottenham,24,12.0,242,155,119,84,39,123,246,50.0,123,146,49,97,103,345,248,3
18,West Ham,20,12.0,200,126,104,73,23,91,177,51.4,86,163,60,103,118,318,310,2
19,Wolves,21,12.0,238,142,142,74,22,98,190,51.6,92,148,56,92,109,347,252,3
20,Arsenal,26,38.0,568,343,238,212,118,249,506,49.2,257,362,86,276,237,805,599,22
21,Aston Villa,26,38.0,633,338,305,251,77,313,646,48.5,333,438,118,320,324,957,714,13
22,Bournemouth,31,38.0,618,371,316,249,53,256,606,42.2,350,499,170,329,353,971,1027,10
23,Brentford,25,38.0,587,337,270,228,89,253,599,42.2,346,456,168,288,341,928,822,12
24,Brighton,29,38.0,616,340,270,242,104,266,560,47.5,294,392,104,288,303,919,432,15
25,Chelsea,32,38.0,740,445,363,267,110,333,654,50.9,321,466,108,358,341,1081,661,20
26,Crystal Palace,26,38.0,690,421,354,246,90,281,532,52.8,251,463,119,344,359,1049,807,5
27,Everton,28,38.0,708,424,362,257,89,309,611,50.6,302,510,180,330,390,1098,874,17
28,Fulham,29,38.0,623,349,294,228,101,299,578,51.7,279,455,125,330,340,963,749,13
29,Leeds United,29,38.0,840,480,376,343,121,412,863,47.7,451,536,131,405,392,1232,734,18
30,Leicester City,28,38.0,700,412,345,292,63,308,669,46.0,361,517,170,347,367,1067,777,11
31,Liverpool,28,38.0,590,370,228,250,112,281,648,43.4,367,350,74,276,333,923,568,19
32,Manchester City,24,38.0,471,272,185,198,88,212,459,46.2,247,339,95,244,223,694,402,8
33,Manchester Utd,26,38.0,658,400,343,231,84,301,598,50.3,297,496,146,350,352,1010,771,10
34,Newcastle Utd,27,38.0,607,360,268,254,85,307,642,47.8,335,448,116,332,333,940,680,10
35,Nott'ham Forest,33,38.0,659,387,380,201,78,296,584,50.7,288,500,156,344,349,1008,944,6
36,Southampton,36,38.0,713,426,377,279,57,297,609,48.8,312,542,165,377,428,1141,852,10
37,Tottenham,29,38.0,619,353,325,215,79,275,574,47.9,299,428,148,280,340,959,762,19
38,West Ham,25,38.0,607,335,289,226,92,269,558,48.2,289,415,139,276,408,1015,810,10
39,Wolves,32,38.0,661,370,364,222,75,286,609,47.0,323,497,175,322,279,940,817,18
40,Arsenal,27,38.0,540,311,261,195,84,244,500,48.8,256,386,123,263,296,836,658,20
41,Aston Villa,31,38.0,634,382,300,259,75,300,649,46.2,349,453,140,313,339,973,693,13
42,Brentford,29,38.0,607,342,299,228,80,291,616,47.2,325,383,113,270,393,1000,863,7
