,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Arsenal,23,60.7,12.0,8485,626,2210,3689,2646,401,8479,216,96,44.4,94,43.5,5483,26760,13711,245,160,83,136,123,6197,620
1,Aston Villa,23,53.8,12.0,7500,798,2400,3409,1761,360,7497,244,105,43.0,95,38.9,4873,26536,14295,254,156,74,154,104,5214,493
2,Bournemouth,25,42.9,12.0,6412,838,2286,2620,1595,276,6412,280,130,46.4,119,42.5,3626,21385,11042,197,152,53,188,125,3770,348
3,Brentford,25,47.7,12.0,7038,1008,2791,2708,1599,354,7036,180,79,43.9,73,40.6,3848,19332,10303,172,110,59,165,83,4382,457
4,Brighton,25,61.4,12.0,9102,963,2972,4222,1973,347,9101,262,105,40.1,124,47.3,6065,29784,15575,284,167,90,173,112,6755,542
5,Burnley,25,49.9,12.0,7420,1013,2821,3047,1609,228,7420,237,91,38.4,115,48.5,4594,22985,11802,204,146,65,147,92,4918,338
6,Chelsea,23,60.3,12.0,8874,849,2785,3823,2343,384,8869,269,123,45.7,108,40.1,5848,27686,14555,302,189,96,199,120,6461,526
7,Crystal Palace,22,43.7,12.0,6759,773,2284,2956,1593,245,6758,245,124,50.6,95,38.8,3656,18209,9378,167,122,48,195,146,4133,368
8,Everton,23,40.0,12.0,6278,750,2026,2655,1651,252,6278,185,89,48.1,80,43.2,3240,17159,8645,174,146,49,182,100,3546,327
9,Fulham,23,48.7,12.0,7373,759,2528,3264,1661,213,7373,175,90,51.4,71,40.6,4367,23786,12055,194,148,49,162,124,4920,412
10,Liverpool,22,58.5,12.0,8815,782,2515,4129,2246,377,8811,228,98,43.0,113,49.6,5398,26594,14470,277,213,78,183,108,6265,628
11,Luton Town,23,36.2,12.0,5605,766,1957,2197,1518,268,5603,198,84,42.4,91,46.0,2575,15869,7823,179,120,58,170,97,2811,332
12,Manchester City,25,62.5,12.0,9234,675,2220,4436,2636,374,9230,217,118,54.4,72,33.2,6126,33035,18549,340,257,98,139,88,7118,602
13,Manchester Utd,25,54.3,12.0,7979,774,2357,3391,2307,336,7978,219,102,46.6,85,38.8,4932,25363,13645,249,174,88,163,113,5381,572
14,Newcastle Utd,25,53.1,12.0,7776,712,2580,3553,1712,300,7773,207,108,52.2,71,34.3,4615,23435,11019,219,165,74,167,132,5398,461
15,Nott'ham Forest,27,38.9,12.0,6184,842,2439,2509,1293,235,6184,180,80,44.4,81,45.0,3082,16492,8870,166,128,48,155,88,3575,312
16,Sheffield Utd,27,38.2,12.0,5989,877,2337,2406,1295,213,5987,179,67,37.4,96,53.6,2781,13195,5972,98,89,34,165,108,3254,280
17,Tottenham,24,59.5,12.0,8818,919,2815,3748,2351,413,8818,298,129,43.3,133,44.6,5758,29379,14929,305,193,113,162,121,6277,635
18,West Ham,20,42.1,12.0,6610,857,2396,2824,1449,270,6609,203,104,51.2,74,36.5,3655,19844,9376,186,126,59,155,108,3997,383
19,Wolves,21,47.8,12.0,7093,878,2627,3016,1553,260,7093,308,164,53.2,111,36.0,4189,23637,12161,230,171,63,193,125,4506,367
20,Arsenal,26,59.3,38.0,25909,1994,6632,11452,8015,1296,25905,751,351,46.7,290,38.6,15923,84011,44201,824,583,281,526,378,18101,2024
21,Aston Villa,26,49.3,38.0,21501,2783,7912,9077,4706,746,21496,681,292,42.9,279,41.0,12294,65583,33156,637,434,174,565,371,13587,1227
22,Bournemouth,31,40.4,38.0,19950,2934,8004,7933,4256,699,19950,735,321,43.7,344,46.8,10336,55322,27419,504,388,144,589,367,11617,986
23,Brentford,25,43.8,38.0,19750,2632,7290,7802,4835,827,19742,597,264,44.2,248,41.5,10408,49009,23987,392,299,102,520,335,11203,1121
24,Brighton,29,60.2,38.0,26727,2471,7844,12212,6873,1102,26721,724,343,47.4,279,38.5,16331,83719,43965,809,547,250,558,324,18991,1828
25,Chelsea,32,58.7,38.0,27166,2564,8461,12057,6850,958,27163,837,379,45.3,352,42.1,16537,83505,43593,829,622,216,568,381,19065,1729
26,Crystal Palace,26,46.3,38.0,21713,2580,7668,9275,4991,766,21710,784,367,46.8,314,40.1,11687,60301,30015,556,393,206,643,457,13304,1238
27,Everton,28,42.8,38.0,20233,2527,7219,8417,4830,742,20229,669,305,45.6,296,44.2,10479,56737,27858,500,391,137,605,300,11708,1042
28,Fulham,29,48.8,38.0,22160,2563,7461,9519,5414,758,22151,592,269,45.4,238,40.2,12249,68133,35319,662,471,124,536,379,13846,1316
29,Leeds United,29,47.0,38.0,21642,2125,6971,9290,5587,796,21639,688,268,39.0,328,47.7,11342,55021,27062,555,379,146,602,421,12329,1418
30,Leicester City,28,47.7,38.0,23125,2681,8408,10293,4641,688,23119,620,291,46.9,245,39.5,12503,63356,31619,580,363,175,548,313,14797,1294
31,Liverpool,28,60.8,38.0,28399,2310,8119,13329,7149,1252,28395,691,320,46.3,282,40.8,17146,82458,41527,719,569,234,584,413,19921,1974
32,Manchester City,24,64.7,38.0,29895,2170,7410,14372,8301,1277,29885,702,334,47.6,239,34.0,19120,104039,56163,987,753,279,406,298,22992,2054
33,Manchester Utd,26,53.7,38.0,24848,2639,8093,10389,6570,1036,24845,730,317,43.4,338,46.3,14245,70351,37126,711,515,239,497,293,16447,1578
34,Newcastle Utd,27,52.3,38.0,22106,2088,6757,9053,6516,1161,22100,783,349,44.6,322,41.1,12021,64166,32968,694,493,227,576,363,13803,1599
35,Nott'ham Forest,33,37.6,38.0,17912,2715,7420,6953,3755,611,17906,569,254,44.6,235,41.3,8674,46411,24008,435,308,111,537,275,9452,847
36,Southampton,36,44.5,38.0,21095,2639,7452,8998,4880,712,21091,756,358,47.4,318,42.1,11323,61000,29819,588,453,131,567,400,12216,1112
37,Tottenham,29,50.0,38.0,23836,2734,8571,10329,5135,842,23830,663,303,45.7,288,43.4,13676,71282,36837,692,465,189,521,356,15864,1436
