,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Playing Time,Playing Time,Playing Time,Playing Time,Progression,Progression,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,season
,npxG,npxG+xAG,xAG,xG,Ast,G+A,G+A-PK,G-PK,Gls,npxG,npxG+xAG,xAG,xG,xG+xAG,Ast,CrdR,CrdY,G+A,G-PK,Gls,PK,PKatt,90s,MP,Min,Starts,PrgC,PrgP,Squad,# Pl,Age,Poss,
0,16.5,29.3,12.7,21.0,1.17,3.25,2.75,1.58,2.08,1.38,2.44,1.06,1.75,2.81,14,2.0,18.0,39,19,25,6,6,12.0,12,1080,132,245.0,630.0,Arsenal,23,25.2,60.7,2023-2024
1,21.2,37.9,16.7,23.5,1.5,3.67,3.42,1.92,2.17,1.77,3.16,1.39,1.96,3.35,18,0.0,28.0,44,23,26,3,3,12.0,12,1080,132,254.0,496.0,Aston Villa,23,27.1,53.8,2023-2024
2,13.8,23.1,9.3,13.8,0.5,1.42,1.42,0.92,0.92,1.15,1.93,0.77,1.15,1.93,6,1.0,20.0,17,11,11,0,0,12.0,12,1080,132,197.0,352.0,Bournemouth,25,25.7,42.9,2023-2024
3,20.8,37.5,16.7,22.1,1.08,2.58,2.42,1.33,1.5,1.73,3.12,1.39,1.84,3.23,13,0.0,30.0,31,16,18,2,2,12.0,12,1080,132,172.0,456.0,Brentford,25,26.6,47.7,2023-2024
4,20.0,36.5,16.5,20.8,1.5,3.42,3.33,1.83,1.92,1.67,3.04,1.38,1.73,3.11,18,1.0,30.0,41,22,23,1,1,12.0,12,1080,132,284.0,546.0,Brighton,25,27.2,61.4,2023-2024
5,9.9,17.9,8.0,9.9,0.67,1.42,1.42,0.75,0.75,0.83,1.49,0.67,0.83,1.49,8,3.0,25.0,17,9,9,0,0,12.0,12,1080,132,204.0,343.0,Burnley,25,25.1,49.9,2023-2024
6,21.3,37.3,16.0,25.2,1.0,2.67,2.33,1.33,1.67,1.78,3.11,1.33,2.1,3.44,12,1.0,40.0,32,16,20,4,5,12.0,12,1080,132,302.0,529.0,Chelsea,23,25.2,60.3,2023-2024
7,13.4,25.0,11.6,14.2,0.83,1.83,1.75,0.92,1.0,1.12,2.08,0.97,1.18,2.15,10,0.0,22.0,22,11,12,1,1,12.0,12,1080,132,167.0,374.0,Crystal Palace,22,27.8,43.7,2023-2024
8,17.9,31.0,13.1,17.9,0.58,1.75,1.75,1.17,1.17,1.49,2.59,1.09,1.49,2.59,7,1.0,25.0,21,14,14,0,0,12.0,12,1080,132,174.0,329.0,Everton,23,27.5,40.0,2023-2024
9,12.4,21.3,8.9,12.4,0.33,1.08,1.08,0.75,0.75,1.03,1.77,0.75,1.03,1.77,4,2.0,35.0,13,9,9,0,0,12.0,12,1080,132,194.0,417.0,Fulham,23,29.4,48.7,2023-2024
10,23.2,42.2,19.0,26.5,1.42,3.5,3.25,1.83,2.08,1.93,3.52,1.58,2.21,3.79,17,4.0,22.0,42,22,25,3,4,12.0,12,1080,132,277.0,632.0,Liverpool,22,27.3,58.5,2023-2024
11,11.3,19.8,8.5,12.9,0.42,1.17,1.0,0.58,0.75,0.95,1.65,0.71,1.07,1.78,5,0.0,20.0,14,7,9,2,2,12.0,12,1080,132,179.0,337.0,Luton Town,23,27.2,36.2,2023-2024
12,21.3,39.8,18.5,24.4,2.0,4.67,4.42,2.42,2.67,1.78,3.32,1.54,2.03,3.58,24,2.0,23.0,56,29,32,3,4,12.0,12,1080,132,340.0,608.0,Manchester City,25,26.8,62.5,2023-2024
13,16.7,30.6,13.9,17.5,0.83,1.92,1.83,1.0,1.08,1.39,2.55,1.16,1.46,2.62,10,0.0,26.0,23,12,13,1,1,12.0,12,1080,132,249.0,578.0,Manchester Utd,25,27.3,54.3,2023-2024
14,21.0,35.9,14.9,23.4,1.42,3.67,3.42,2.0,2.25,1.75,2.99,1.24,1.95,3.19,17,0.0,33.0,44,24,27,3,3,12.0,12,1080,132,219.0,464.0,Newcastle Utd,25,28.1,53.1,2023-2024
15,13.2,22.6,9.4,13.2,1.0,2.17,2.17,1.17,1.17,1.1,1.88,0.78,1.1,1.88,12,2.0,34.0,26,14,14,0,0,12.0,12,1080,132,166.0,320.0,Nott'ham Forest,27,26.6,38.9,2023-2024
16,8.1,12.9,4.8,9.7,0.25,0.83,0.67,0.42,0.58,0.67,1.08,0.4,0.8,1.21,3,1.0,35.0,10,5,7,2,2,12.0,12,1080,132,98.0,282.0,Sheffield Utd,27,26.9,38.2,2023-2024
17,19.2,35.6,16.4,19.2,1.58,3.33,3.33,1.75,1.75,1.6,2.96,1.36,1.6,2.96,19,3.0,38.0,40,21,21,0,0,12.0,12,1080,132,305.0,639.0,Tottenham,24,25.5,59.5,2023-2024
18,16.8,29.9,13.1,17.6,1.42,3.17,3.08,1.67,1.75,1.4,2.49,1.09,1.47,2.56,17,1.0,32.0,38,20,21,1,1,12.0,12,1080,132,186.0,387.0,West Ham,20,28.9,42.1,2023-2024
19,16.4,29.2,12.8,16.4,1.17,2.42,2.42,1.25,1.25,1.37,2.43,1.07,1.37,2.43,14,3.0,41.0,29,15,15,0,0,12.0,12,1080,132,230.0,373.0,Wolves,21,27.0,47.8,2023-2024
20,69.1,122.9,53.8,71.9,1.68,3.89,3.82,2.13,2.21,1.82,3.23,1.41,1.89,3.31,64,0.0,51.0,148,81,84,3,4,38.0,38,3420,418,824.0,2049.0,Arsenal,26,24.7,59.3,2022-2023
21,47.2,86.0,38.8,50.2,0.92,2.21,2.13,1.21,1.29,1.24,2.26,1.02,1.32,2.34,35,1.0,80.0,84,46,49,3,4,38.0,38,3420,418,637.0,1242.0,Aston Villa,26,27.0,49.3,2022-2023
22,38.6,67.1,28.5,38.6,0.63,1.61,1.61,0.97,0.97,1.02,1.76,0.75,1.02,1.76,24,0.0,68.0,61,37,37,0,0,38.0,38,3420,418,504.0,1006.0,Bournemouth,31,26.3,40.4,2022-2023
23,50.6,89.2,38.7,56.8,0.95,2.42,2.24,1.29,1.47,1.33,2.35,1.02,1.49,2.51,36,1.0,57.0,92,49,56,7,8,38.0,38,3420,418,392.0,1131.0,Brentford,25,26.2,43.8,2022-2023
24,68.9,121.2,52.2,73.3,1.21,3.0,2.84,1.63,1.79,1.81,3.19,1.37,1.93,3.3,46,0.0,58.0,114,62,68,6,6,38.0,38,3420,418,809.0,1849.0,Brighton,29,26.3,60.2,2022-2023
25,47.2,85.8,38.6,49.5,0.71,1.68,1.61,0.89,0.97,1.24,2.26,1.02,1.3,2.32,27,3.0,81.0,64,34,37,3,3,38.0,38,3420,418,829.0,1737.0,Chelsea,32,26.3,58.7,2022-2023
